pert_iname,cell_iname,norm_cs,bioactivity_class,SMILE
ercalcitriol,MDAMB231,0.47,inactive,C[C@H](/C=C/[C@H](C)C(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C
KD-023,MDAMB231,0.46,inactive,CCCCCCCCCCCCCCOC1=CC=C(O1)C(=O)O
methiopril,MDAMB231,0.46,inactive,C[C@@H]1CCC[C@@H](N1C(=O)CCSC(=O)C)C(=O)O
miglitol,MDAMB231,0.46,inactive,C1[C@@H]([C@H]([C@@H]([C@H](N1CCO)CO)O)O)O
DMP-777,MDAMB231,0.45,inactive,CCC[C@H](C1=CC2=C(C=C1)OCO2)NC(=O)N3[C@H](C(C3=O)(CC)CC)OC4=CC=C(C=C4)C(=O)N5CCN(CC5)C
bavisant,MDAMB231,0.45,inactive,C1CC1N2CCN(CC2)C(=O)C3=CC=C(C=C3)CN4CCOCC4
dabigatran-etexilate,MDAMB231,0.45,inactive,CCCCCCOC(=O)NC(=N)C1=CC=C(C=C1)NCC2=NC3=C(N2C)C=CC(=C3)C(=O)N(CCC(=O)OCC)C4=CC=CC=N4
orteronel,MDAMB231,0.44,inactive,CNC(=O)C1=CC2=C(C=C1)C=C(C=C2)[C@]3(CCN4C3=CN=C4)O
epirizole,MDAMB231,0.44,inactive,CC1=CC(=NC(=N1)N2C(=CC(=N2)C)OC)OC
tirofiban,MDAMB231,0.44,inactive,CCCCS(=O)(=O)N[C@@H](CC1=CC=C(C=C1)OCCCCC2CCNCC2)C(=O)O
guanadrel,MDAMB231,0.42,inactive,C1CCC2(CC1)OCC(O2)CN=C(N)N
azelastine,MDAMB231,0.42,inactive,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl
theobromine,MDAMB231,0.42,inactive,CN1C=NC2=C1C(=O)NC(=O)N2C
tioconazole,MDAMB231,0.42,inactive,C1=CC(=C(C=C1Cl)Cl)C(CN2C=CN=C2)OCC3=C(SC=C3)Cl
BX-912,MDAMB231,0.41,inactive,C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCC4=CN=CN4)Br
anecortave-acetate,MDAMB231,0.4,inactive,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(CC=C3[C@H]2CCC4=CC(=O)CC[C@@]43C)C)O
lamotrigine,MDAMB231,0.39,inactive,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N
SU-11274,MDAMB231,0.34,inactive,CC1=C(NC(=C1C(=O)N2CCN(CC2)C)C)/C=C\3/C4=C(C=CC(=C4)S(=O)(=O)N(C)C5=CC(=CC=C5)Cl)NC3=O
rigosertib,MDAMB231,0.29,inactive,COC1=C(C=C(C=C1)CS(=O)(=O)/C=C/C2=C(C=C(C=C2OC)OC)OC)NCC(=O)O
